kind,shape_key,sample_sql,executions,total_elapsed_us,mean_elapsed_us,max_elapsed_us,failures,last_error_type
"UPDATE","INSERT INTO order_line VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?)","INSERT INTO order_line VALUES (1, 1, 1, 1, 17726, '2026-05-23 22:52:36.528', 0.0, 1, 5.0, 'ohwqqbixinbagfleaojusta')",300040,13499887,44,546,0,
"QUERY","SELECT S_QUANTITY, S_DATA, S_DIST_01, S_DIST_02, S_DIST_03, S_DIST_04, S_DIST_05, S_DIST_06, S_DIST_07, S_DIST_08, S_DIST_09, S_DIST_10 FROM stock WHERE S_I_ID = ? AND S_W_ID = ? FOR UPDATE","SELECT S_QUANTITY, S_DATA, S_DIST_01, S_DIST_02, S_DIST_03, S_DIST_04, S_DIST_05, S_DIST_06, S_DIST_07, S_DIST_08, S_DIST_09, S_DIST_10 FROM stock WHERE S_I_ID = 13990 AND S_W_ID = 1 FOR UPDATE",120788,6832267,56,53646,0,
"QUERY","SELECT I_PRICE, I_NAME , I_DATA FROM item WHERE I_ID = ?","SELECT I_PRICE, I_NAME , I_DATA FROM item WHERE I_ID = 13990",120923,6263188,51,42022,0,
"UPDATE","INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (?,?,?,?,?,?,?,?,?)","INSERT INTO order_line (OL_O_ID, OL_D_ID, OL_W_ID, OL_NUMBER, OL_I_ID, OL_SUPPLY_W_ID, OL_QUANTITY, OL_AMOUNT, OL_DIST_INFO) VALUES (3001,5,1,1,13990,1,5,47.39999771118164,'slqlzhewrknwhikfnrcvnyu ')",119529,2895296,24,4689,0,
"UPDATE","INSERT INTO stock VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)","INSERT INTO stock VALUES (1, 1, 56, 0.0, 0, 0, 'pofjlcovjecfsgqfufhycdmuiiwxathajpjrslpojx', 'zcnansdpgzzkctpkxqrngdn', 'pshxlsxqfttefdftdjfcyok', 'rubvshrwbvyskgwqcgpmund', 'ioxijnkudiudwvgejtdmvha', 'ckoqyqnmqesygirpjhsncbm', 'msqotpmyulrinhzcbxryvpv', 'okitawmzqlmoewedawfigem', 'ylzlajwrrpknizatmqtaoxh', 'xwzbqjogoolfembygxtkddr', 'vzkewwfmsngtlvyuhdzuzum')",100000,2204740,22,596,0,
"UPDATE","UPDATE stock SET S_QUANTITY = ? , S_YTD = S_YTD + ?, S_ORDER_CNT = S_ORDER_CNT + 1, S_REMOTE_CNT = S_REMOTE_CNT + ? WHERE S_I_ID = ? AND S_W_ID = ?","UPDATE stock SET S_QUANTITY = 85 , S_YTD = S_YTD + 5, S_ORDER_CNT = S_ORDER_CNT + 1, S_REMOTE_CNT = S_REMOTE_CNT + 0 WHERE S_I_ID = 13990 AND S_W_ID = 1",119529,1883435,15,2938,0,
"UPDATE","INSERT INTO item VALUES (?, ?, ?, ?, ?)","INSERT INTO item VALUES (1, 'sxvnjhpdqdxvcrast', 58.64, 'ybcwvmgnykrxvzxkgxtspsjdgyluegq', 5254)",100000,1540305,15,486,0,
"UPDATE","UPDATE order_line SET OL_DELIVERY_D = ? WHERE OL_O_ID = ? AND OL_D_ID = ? AND OL_W_ID = ?","UPDATE order_line SET OL_DELIVERY_D = '2026-05-23 22:52:52.72' WHERE OL_O_ID = 2101 AND OL_D_ID = 1 AND OL_W_ID = 1",10800,1125106,104,12287,0,
"UPDATE","UPDATE warehouse SET W_YTD = W_YTD + ? WHERE W_ID = ?","UPDATE warehouse SET W_YTD = W_YTD + 1413.81005859375 WHERE W_ID = 1",11967,925769,77,32085,0,
"UPDATE","INSERT INTO oorder (O_ID, O_D_ID, O_W_ID, O_C_ID, O_ENTRY_D, O_OL_CNT, O_ALL_LOCAL) VALUES (?, ?, ?, ?, ?, ?, ?)","INSERT INTO oorder (O_ID, O_D_ID, O_W_ID, O_C_ID, O_ENTRY_D, O_OL_CNT, O_ALL_LOCAL) VALUES (3001, 5, 1, 766, '2026-05-23 22:52:52.577', 6, 1)",12079,911381,75,11526,0,
"UPDATE","INSERT INTO history (H_C_D_ID, H_C_W_ID, H_C_ID, H_D_ID, H_W_ID, H_DATE, H_AMOUNT, H_DATA) VALUES (?,?,?,?,?,?,?,?)","INSERT INTO history (H_C_D_ID, H_C_W_ID, H_C_ID, H_D_ID, H_W_ID, H_DATE, H_AMOUNT, H_DATA) VALUES (3,1,973,5,1,'2026-05-23 22:52:52.444',1413.81005859375,'pqagcyz bvixkgxx')",11967,904361,75,32017,0,
"QUERY","SELECT COUNT(DISTINCT (S_I_ID)) AS STOCK_COUNT FROM order_line, stock WHERE OL_W_ID = ? AND OL_D_ID = ? AND OL_O_ID < ? AND OL_O_ID >= ? AND S_W_ID = ? AND S_I_ID = OL_I_ID AND S_QUANTITY < ?","SELECT COUNT(DISTINCT (S_I_ID)) AS STOCK_COUNT FROM order_line, stock WHERE OL_W_ID = 1 AND OL_D_ID = 6 AND OL_O_ID < 3001 AND OL_O_ID >= 2981 AND S_W_ID = 1 AND S_I_ID = OL_I_ID AND S_QUANTITY < 10",1055,864069,819,15025,0,
"QUERY","SELECT C_DISCOUNT, C_LAST, C_CREDIT FROM customer WHERE C_W_ID = ? AND C_D_ID = ? AND C_ID = ?","SELECT C_DISCOUNT, C_LAST, C_CREDIT FROM customer WHERE C_W_ID = 1 AND C_D_ID = 5 AND C_ID = 766",12079,847525,70,5528,0,
"UPDATE","UPDATE customer SET C_BALANCE = ?, C_YTD_PAYMENT = ?, C_PAYMENT_CNT = ? WHERE C_W_ID = ? AND C_D_ID = ? AND C_ID = ?","UPDATE customer SET C_BALANCE = -1423.81005859375, C_YTD_PAYMENT = 1423.81005859375, C_PAYMENT_CNT = 2 WHERE C_W_ID = 1 AND C_D_ID = 3 AND C_ID = 973",10764,795669,73,6917,0,
