kind,shape_key,sample_sql,executions,total_elapsed_us,mean_elapsed_us,max_elapsed_us,failures,last_error_type
"QUERY","SELECT C_DISCOUNT, C_LAST, C_CREDIT FROM customer WHERE C_W_ID = ? AND C_D_ID = ? AND C_ID = ?","SELECT C_DISCOUNT, C_LAST, C_CREDIT FROM customer WHERE C_W_ID = 1 AND C_D_ID = 4 AND C_ID = 198",11357,19011561,1673,63270,11300,"SQLException"
"UPDATE","UPDATE warehouse SET W_YTD = W_YTD + ? WHERE W_ID = ?","UPDATE warehouse SET W_YTD = W_YTD + 1938.1500244140625 WHERE W_ID = 1",10856,10710969,986,524613,10807,"SQLException"
"QUERY","SELECT COUNT(DISTINCT (S_I_ID)) AS STOCK_COUNT FROM order_line, stock WHERE OL_W_ID = ? AND OL_D_ID = ? AND OL_O_ID < ? AND OL_O_ID >= ? AND S_W_ID = ? AND S_I_ID = OL_I_ID AND S_QUANTITY < ?","SELECT COUNT(DISTINCT (S_I_ID)) AS STOCK_COUNT FROM order_line, stock WHERE OL_W_ID = 1 AND OL_D_ID = 6 AND OL_O_ID < 3005 AND OL_O_ID >= 2985 AND S_W_ID = 1 AND S_I_ID = OL_I_ID AND S_QUANTITY < 15",4,3139971,784992,968404,0,
"QUERY","SELECT C_FIRST, C_MIDDLE, C_ID, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_SINCE FROM customer WHERE C_W_ID = ? AND C_D_ID = ? AND C_LAST = ? ORDER BY C_FIRST","SELECT C_FIRST, C_MIDDLE, C_ID, C_STREET_1, C_STREET_2, C_CITY, C_STATE, C_ZIP, C_PHONE, C_CREDIT, C_CREDIT_LIM, C_DISCOUNT, C_BALANCE, C_YTD_PAYMENT, C_PAYMENT_CNT, C_SINCE FROM customer WHERE C_W_ID = 1 AND C_D_ID = 2 AND C_LAST = 'BARESEPRES' ORDER BY C_FIRST",643,2659240,4135,91726,601,"SQLException"
"QUERY","SELECT NO_O_ID FROM new_order WHERE NO_D_ID = ? AND NO_W_ID = ? ORDER BY NO_O_ID ASC LIMIT 1","SELECT NO_O_ID FROM new_order WHERE NO_D_ID = 1 AND NO_W_ID = 1 ORDER BY NO_O_ID ASC LIMIT 1",1065,1944386,1825,22504,1062,"SQLException"
"QUERY","SELECT S_QUANTITY, S_DATA, S_DIST_01, S_DIST_02, S_DIST_03, S_DIST_04, S_DIST_05, S_DIST_06, S_DIST_07, S_DIST_08, S_DIST_09, S_DIST_10 FROM stock WHERE S_I_ID = ? AND S_W_ID = ? FOR UPDATE","SELECT S_QUANTITY, S_DATA, S_DIST_01, S_DIST_02, S_DIST_03, S_DIST_04, S_DIST_05, S_DIST_06, S_DIST_07, S_DIST_08, S_DIST_09, S_DIST_10 FROM stock WHERE S_I_ID = 80033 AND S_W_ID = 1 FOR UPDATE",579,1653573,2855,155441,0,
"QUERY","SELECT D_NEXT_O_ID FROM district WHERE D_W_ID = ? AND D_ID = ?","SELECT D_NEXT_O_ID FROM district WHERE D_W_ID = 1 AND D_ID = 6",983,1572935,1600,12908,979,"SQLException"
"QUERY","SELECT I_PRICE, I_NAME , I_DATA FROM item WHERE I_ID = ?","SELECT I_PRICE, I_NAME , I_DATA FROM item WHERE I_ID = 80033",580,1499053,2584,124444,0,
"UPDATE","UPDATE stock SET S_QUANTITY = ? , S_YTD = S_YTD + ?, S_ORDER_CNT = S_ORDER_CNT + 1, S_REMOTE_CNT = S_REMOTE_CNT + ? WHERE S_I_ID = ? AND S_W_ID = ?","UPDATE stock SET S_QUANTITY = 54 , S_YTD = S_YTD + 5, S_ORDER_CNT = S_ORDER_CNT + 1, S_REMOTE_CNT = S_REMOTE_CNT + 0 WHERE S_I_ID = 80033 AND S_W_ID = 1",513,857975,1672,17764,0,
"UPDATE","UPDATE order_line SET OL_DELIVERY_D = ? WHERE OL_O_ID = ? AND OL_D_ID = ? AND OL_W_ID = ?","UPDATE order_line SET OL_DELIVERY_D = '2026-05-23 22:49:51.076' WHERE OL_O_ID = 2101 AND OL_D_ID = 1 AND OL_W_ID = 1",3,819863,273287,284366,0,
